序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,update_fingerprint,energy_val,rank
1,920086,N科马,54.95,371.27,43.29,181017.0,987613412.13,265.27,79.93,49.0,50.0,11.66,,96.14,51.13,5.53,4598216000.0,1034598600.0,0.0,0.13,371.27,371.27,2026-01-16 17:37:43,7689.2994202561895,1
9,688234,天岳先进,111.19,20.0,18.53,213469.0,2253260914.0,16.07,111.19,96.3,96.3,92.66,2.17,4.97,36086.72,7.28,53884735907.0,47779570982.0,0.0,0.0,53.28,25.1,2026-01-16 17:37:43,430.7128859900624,2
6,688362,甬矽电子,52.21,20.0,8.7,379759.0,1811711673.0,19.33,52.21,43.8,45.3,43.51,1.8,9.25,254.63,8.4,21431318996.0,21431318996.0,0.0,0.0,64.29,61.09,2026-01-16 17:37:43,426.35075823194336,3
2,920179,凯德石英,55.88,20.28,9.42,105186.0,561786678.64,25.96,59.58,47.52,49.0,46.46,1.23,17.61,141.27,5.55,4189323600.0,3337068327.0,-0.32,-0.29,52.59,44.62,2026-01-16 17:37:43,408.57371241756545,4
3,301235,华康洁净,48.22,20.01,8.04,156415.0,706715345.04,18.94,48.22,40.61,40.61,40.18,1.98,21.5,63.73,2.86,5196888753.0,3507658154.0,0.0,0.0,41.04,30.78,2026-01-16 17:37:43,407.7265317951121,5
8,301529,福赛科技,150.43,20.0,25.07,48940.0,706508995.37,19.65,150.43,125.8,125.8,125.36,1.57,10.82,89.74,9.34,12762061500.0,6805229059.0,0.0,0.0,132.97,33.01,2026-01-16 17:37:43,407.5169298744657,6
11,300780,德恩精工,23.54,19.98,3.92,317768.0,704338711.2,19.72,23.54,19.67,19.84,19.62,2.13,29.55,-79.77,3.37,3452611800.0,2531374182.0,0.0,0.0,31.8,22.1,2026-01-16 17:37:43,407.0479430755809,7
4,300606,金太阳,31.02,20.0,5.17,237339.0,686344607.01,18.07,31.02,26.35,26.45,25.85,1.91,20.17,153.46,6.36,4291549563.0,3650262556.0,0.0,0.0,26.87,31.94,2026-01-16 17:37:43,406.9378080719107,8
7,300215,电科院,8.16,20.0,1.36,809442.0,626079370.38,17.35,8.16,6.98,7.0,6.8,2.75,16.19,-197.45,3.12,6112608566.0,4078942431.0,0.0,0.0,35.32,28.3,2026-01-16 17:37:43,405.0997542473777,9
12,688334,西高院,25.06,19.5,4.09,313587.0,767379108.0,16.02,25.16,21.8,21.8,20.97,6.18,19.99,30.13,2.78,7933481418.0,3932031732.0,-0.2,-0.4,22.6,29.44,2026-01-16 17:37:43,398.9405844901545,10
5,688376,美埃科技,76.2,20.0,12.7,57008.0,413948722.0,17.72,76.2,64.95,65.0,63.5,1.58,4.22,54.85,5.3,10304225010.0,10304225010.0,0.0,0.0,71.85,31.79,2026-01-16 17:37:43,396.8250533326139,11
14,688525,佰维存储,184.0,17.19,26.99,569132.0,9920542078.0,19.99,188.41,157.02,163.0,157.01,1.76,12.18,2119.56,18.2,85952234640.0,85952234640.0,-0.27,1.43,73.45,60.29,2026-01-16 17:37:43,395.6772437771258,12
10,300952,恒辉安防,49.85,20.0,8.31,55521.0,270829089.95,10.54,49.85,45.47,45.47,41.54,0.65,5.3,78.71,5.08,8603451432.0,5223709417.0,0.0,0.0,49.79,21.97,2026-01-16 17:37:43,388.33997038385513,13
15,688403,汇成股份,22.23,17.12,3.25,1302025.0,2756392443.0,19.86,22.78,19.01,19.27,18.98,2.89,14.98,116.6,5.48,19316602401.0,19316602401.0,0.68,0.14,36.3,35.71,2026-01-16 17:37:43,372.1406684243191,14
13,301266,宇邦新材,44.98,17.2,6.6,145132.0,620874808.58,19.85,46.0,38.38,38.38,38.38,3.42,13.91,70.33,2.74,4946874671.0,4692838337.0,0.02,0.4,16.23,23.74,2026-01-16 17:37:43,348.2422084247634,15
16,688663,新风光,55.0,15.55,7.4,117154.0,608100186.0,16.45,55.6,47.77,48.14,47.6,2.31,8.29,70.24,5.69,7776039150.0,7776039150.0,0.05,0.47,39.13,41.86,2026-01-16 17:37:43,314.5119707282656,16
20,300567,精测电子,135.9,14.2,16.9,244013.0,3235506568.15,14.96,138.8,121.0,122.34,119.0,1.64,10.75,284.88,10.76,38017370913.0,30855834208.0,0.09,0.1,89.78,49.01,2026-01-16 17:37:43,310.94380906768725,17
23,301308,江波龙,353.48,13.48,41.98,295031.0,9872374018.11,18.97,366.0,306.91,312.88,311.5,1.62,10.75,155.93,19.68,148159468979.0,96992843435.0,0.57,0.22,95.38,44.37,2026-01-16 17:37:43,310.21532344463196,18
18,301286,侨源股份,53.28,15.47,7.14,86240.0,449953333.09,17.58,54.98,46.87,46.88,46.14,2.06,5.35,88.4,11.16,21317328000.0,8592966325.0,0.19,0.15,96.97,25.99,2026-01-16 17:37:43,308.23440408359954,19
