序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,update_fingerprint,sup,corr_val,final_score,rank
86,601163,三角轮胎,15.53,9.99,1.41,302399.0,469249199.0,1.35,15.53,15.34,15.53,14.12,5.17,3.78,13.65,0.91,12424000000.0,12424000000.0,0.0,0.0,9.91,8.68,2026-01-16 17:37:43,1.0,0.962083474050286,0.976,1
87,600785,新华百货,18.82,9.99,1.71,506642.0,946178290.0,6.66,18.82,17.68,18.82,17.11,3.17,22.45,29.62,1.85,4246380690.0,4246380690.0,0.0,0.0,42.15,38.89,2026-01-16 17:37:43,1.0,0.7648167279324393,0.928,2
371,002121,科陆电子,9.66,4.55,0.42,1707565.0,1619063284.08,7.14,9.77,9.11,9.6,9.24,1.87,12.2,51.9,21.67,16043489206.0,13523250423.0,-0.21,-0.1,12.85,25.45,2026-01-16 17:37:43,0.7424242424242425,0.7709711018051674,0.896,3
346,603360,百傲化学,34.2,4.78,1.56,268968.0,887458226.0,5.82,34.21,32.31,33.5,32.64,1.46,3.81,144.92,16.04,24152848967.0,24152848967.0,-0.03,1.18,24.68,6.15,2026-01-16 17:37:43,0.6263157894736835,0.7419499700578629,0.8560000000000001,4
83,002028,思源电气,185.9,10.0,16.9,152733.0,2829781132.31,2.43,185.9,181.8,185.89,169.0,1.3,2.51,45.91,9.37,145204038351.0,113300285427.0,0.0,0.0,56.48,20.25,2026-01-16 17:37:43,0.9975609756097514,0.6299473226626757,0.8320000000000001,5
620,300257,开山股份,16.29,3.1,0.49,209958.0,336178988.38,7.41,16.63,15.46,16.11,15.8,1.33,2.2,39.92,2.45,16186314443.0,15551903358.0,0.06,-0.06,-0.85,15.94,2026-01-16 17:37:43,0.5555555555555552,0.6623242134082635,0.712,6
381,002130,沃尔核材,31.11,4.47,1.33,2871738.0,8934914837.99,5.81,31.95,30.22,31.43,29.78,2.87,25.09,35.77,6.35,39195444264.0,35605760574.0,0.13,-0.13,9.58,18.2,2026-01-16 17:37:43,0.5144508670520234,0.5436328864743882,0.6880000000000001,7
647,600289,ST信通,7.16,3.02,0.21,110621.0,79159114.0,4.17,7.3,7.01,7.3,6.95,1.89,1.95,-24.76,4.04,4518332814.0,4052006417.0,-0.14,-0.28,15.67,7.83,2026-01-16 17:37:43,0.517241379310346,0.6206106329338271,0.64,8
668,688488,艾迪药业,21.6,2.96,0.62,289591.0,596674284.0,14.82,22.11,19.0,21.01,20.98,1.98,6.88,-996.52,9.29,9088908653.0,9088908653.0,-0.46,-0.37,46.24,32.27,2026-01-16 17:37:43,0.6463022508038592,0.529878289607985,0.5680000000000001,9
938,300982,苏文电能,23.14,2.12,0.48,162245.0,371333422.36,10.11,24.2,21.91,23.9,22.66,1.92,8.37,357.13,1.65,4789173478.0,4486779958.0,0.0,0.13,17.88,14.61,2026-01-16 17:37:43,0.5371179039301314,0.7479242291244743,0.56,10
650,300749,顶固集创,12.96,3.02,0.38,104667.0,133470168.0,5.25,13.0,12.34,12.69,12.58,0.81,6.65,170.17,4.69,2658995424.0,2039846976.0,-0.23,0.0,38.91,7.37,2026-01-16 17:37:43,0.5303030303030296,0.5234885970990188,0.544,11
897,600330,天通股份,12.92,2.22,0.28,1298110.0,1670568146.0,7.67,13.37,12.4,13.08,12.64,0.98,10.52,208.52,1.99,15935972655.0,15935972655.0,-0.15,0.08,21.2,-1.6,2026-01-16 17:37:43,0.5360824742268043,0.6788597842945739,0.544,12
680,300224,正海磁材,16.96,2.91,0.48,702705.0,1191850218.13,4.25,17.3,16.6,17.19,16.48,1.7,7.59,51.93,3.12,15784679072.0,15695408416.0,0.0,-0.06,3.92,9.7,2026-01-16 17:37:43,0.514285714285714,0.5295615564415955,0.52,13
677,300897,山科智能,26.5,2.91,0.75,15793.0,41219232.65,3.46,26.5,25.61,26.09,25.75,0.79,1.81,106.57,3.79,3715824806.0,2316626502.0,0.45,0.65,-8.72,3.03,2026-01-16 17:37:43,0.5393258426966293,0.4360977851144419,0.44800000000000006,14
722,002015,协鑫能科,11.2,2.75,0.3,502943.0,556503929.74,3.76,11.25,10.84,11.08,10.9,1.29,3.1,17.89,1.47,18181235677.0,18181235677.0,0.09,0.0,2.75,12.56,2026-01-16 17:37:43,0.5853658536585369,0.4590529211443773,0.43199999999999994,15
368,603308,应流股份,50.66,4.58,2.22,259168.0,1291461988.0,5.06,51.29,48.84,51.0,48.44,1.0,3.82,87.78,7.01,34399986101.0,34399986101.0,0.02,0.16,43.51,21.34,2026-01-16 17:37:43,0.7428571428571413,-0.5003091651797803,0.36000000000000004,16
599,688268,华特气体,68.57,3.19,2.12,81032.0,547426240.0,4.89,69.15,65.9,68.5,66.45,1.16,6.74,52.0,4.48,8249309256.0,8243755086.0,0.01,0.07,7.76,19.48,2026-01-16 17:37:43,0.7999999999999983,0.17179955905548963,0.34400000000000003,17
578,688171,纬德信息,56.08,3.32,1.8,22538.0,124333861.0,7.55,56.58,52.48,55.37,54.28,0.86,2.69,807.9,5.69,4698012272.0,4698012272.0,-0.46,0.05,21.62,20.19,2026-01-16 17:37:43,0.7048780487804877,0.09091141535543744,0.33599999999999997,18
707,688433,华曙高科,82.94,2.8,2.26,45934.0,375171314.0,5.84,83.89,79.18,81.68,80.68,0.6,2.27,1769.7,17.37,34351160272.0,16762532301.0,0.0,0.01,63.91,25.34,2026-01-16 17:37:43,0.530785562632697,0.31041835777980353,0.32800000000000007,19
746,300414,中光防雷,16.62,2.66,0.43,247859.0,405739871.17,3.64,16.62,16.03,16.35,16.19,0.45,7.91,237.17,5.45,5418443525.0,5210845000.0,0.06,0.42,32.32,11.17,2026-01-16 17:37:43,0.5423728813559329,0.3545831572748436,0.32,20
931,600552,凯盛科技,14.86,2.13,0.31,611169.0,901287807.0,4.67,15.06,14.38,14.9,14.55,0.63,6.47,81.81,3.3,14036858445.0,14036858445.0,-0.07,0.13,29.11,19.84,2026-01-16 17:37:43,0.7058823529411747,0.36141999200280894,0.264,21
